# Data source: https://mobilitaet-in-tabellen.bast.de/login.html?brd (HH_size 5 means 5+, vehicle_count 4 means 4+, if vehicle count higher than person count reduce to first sensible value 3 cars for 2 people -> 2 cars)
region,hh_size,vehicle_count,probability
71,1,0,0.60
71,1,1,0.40
71,1,2,0.00
71,1,3,0.00
71,1,4,0.00

71,2,0,0.27
71,2,1,0.59
71,2,2,0.14
71,2,3,0.00
71,2,4,0.00

71,3,0,0.25
71,3,1,0.52
71,3,2,0.21
71,3,3,0.02
71,3,4,0.00

71,4,0,0.19
71,4,1,0.54
71,4,2,0.24
71,4,3,0.03
71,4,4,0.00

71,5,0,0.19
71,5,1,0.54
71,5,2,0.24
71,5,3,0.03
71,5,4,0.00



72,1,0,0.49
72,1,1,0.51
72,1,2,0.00
72,1,3,0.00
72,1,4,0.00

72,2,0,0.17
72,2,1,0.61
72,2,2,0.22
72,2,3,0.00
72,2,4,0.00

72,3,0,0.15
72,3,1,0.47
72,3,2,0.34
72,3,3,0.04
72,3,4,0.00

72,4,0,0.09
72,4,1,0.46
72,4,2,0.38
72,4,3,0.05
72,4,4,0.02

72,5,0,0.08
72,5,1,0.54
72,5,2,0.30
72,5,3,0.07
72,5,4,0.01



73,1,0,0.31
73,1,1,0.69
73,1,2,0.00
73,1,3,0.00
73,1,4,0.00

73,2,0,0.06
73,2,1,0.61
73,2,2,0.33
73,2,3,0.00
73,2,4,0.00

73,3,0,0.03
73,3,1,0.40
73,3,2,0.46
73,3,3,0.11
73,3,4,0.00

73,4,0,0.03
73,4,1,0.34
73,4,2,0.52
73,4,3,0.09
73,4,4,0.02

73,5,0,0.06
73,5,1,0.35
73,5,2,0.45
73,5,3,0.10
73,5,4,0.04



74,1,0,0.27
74,1,1,0.73
74,1,2,0.00
74,1,3,0.00
74,1,4,0.00

74,2,0,0.04
74,2,1,0.58
74,2,2,0.38
74,2,3,0.00
74,2,4,0.00

74,3,0,0.04
74,3,1,0.29
74,3,2,0.53
74,3,3,0.14
74,3,4,0.00

74,4,0,0.00
74,4,1,0.22
74,4,2,0.59
74,4,3,0.15
74,4,4,0.04

74,5,0,0.06
74,5,1,0.16
74,5,2,0.57
74,5,3,0.16
74,5,4,0.05



75,1,0,0.41
75,1,1,0.59
75,1,2,0.00
75,1,3,0.00
75,1,4,0.00

75,2,0,0.11
75,2,1,0.65
75,2,2,0.24
75,2,3,0.00
75,2,4,0.00

75,3,0,0.06
75,3,1,0.43
75,3,2,0.43
75,3,3,0.08
75,3,4,0.00

75,4,0,0.06
75,4,1,0.43
75,4,2,0.44
75,4,3,0.06
75,4,4,0.01

75,5,0,0.11
75,5,1,0.45
75,5,2,0.34
75,5,3,0.08
75,5,4,0.02



76,1,0,0.32
76,1,1,0.68
76,1,2,0.00
76,1,3,0.00
76,1,4,0.00

76,2,0,0.06
76,2,1,0.63
76,2,2,0.31
76,2,3,0.00
76,2,4,0.00

76,3,0,0.04
76,3,1,0.34
76,3,2,0.48
76,3,3,0.14
76,3,4,0.00

76,4,0,0.03
76,4,1,0.30
76,4,2,0.54
76,4,3,0.10
76,4,4,0.03

76,5,0,0.05
76,5,1,0.32
76,5,2,0.44
76,5,3,0.14
76,5,4,0.05



77,1,0,0.26
77,1,1,0.74
77,1,2,0.00
77,1,3,0.00
77,1,4,0.00

77,2,0,0.04
77,2,1,0.59
77,2,2,0.37
77,2,3,0.00
77,2,4,0.00

77,3,0,0.01
77,3,1,0.33
77,3,2,0.50
77,3,3,0.16
77,3,4,0.00

77,4,0,0.01
77,4,1,0.20
77,4,2,0.61
77,4,3,0.13
77,4,4,0.05

77,5,0,0.02
77,5,1,0.20
77,5,2,0.51
77,5,3,0.18
77,5,4,0.09